,coords.x1,coords.x2,X,OBJECTID,Shape,ORIG_FID,DomainNum,SiteID,Source,Length,Shape_Leng,Permanent_Identifier,slope
116,-105.561911,40.036515,116,184,Point,4,D13,COMO,NA,0,1762.790324,1005,0.10470399
117,-105.561894,40.03662,117,185,Point,4,D13,COMO,NA,0,1762.790324,1005,0.101800591
118,-105.561797,40.036667,118,186,Point,4,D13,COMO,NA,0,1762.790324,1005,0.078292983
119,-105.561829,40.036797,119,187,Point,4,D13,COMO,NA,0,1762.790324,1005,0.071483346
120,-105.561709,40.036863,120,188,Point,4,D13,COMO,NA,0,1762.790324,1005,0.056768131
121,-105.561556,40.036872,121,189,Point,4,D13,COMO,NA,0,1762.790324,1005,0.083783156
122,-105.561443,40.03681,122,190,Point,4,D13,COMO,NA,0,1762.790324,1005,0.094357673
123,-105.561297,40.03682,123,191,Point,4,D13,COMO,NA,0,1762.790324,1005,0.092860297
124,-105.561314,40.03673,124,192,Point,4,D13,COMO,NA,0,1762.790324,1005,0.080423068
125,-105.56132,40.036621,125,193,Point,4,D13,COMO,NA,0,1762.790324,1005,0.056678902
126,-105.561146,40.03657,126,194,Point,4,D13,COMO,NA,0,1762.790324,1005,0.069345791
127,-105.560982,40.0365,127,195,Point,4,D13,COMO,NA,0,1762.790324,1005,0.063485078
128,-105.56086,40.036417,128,196,Point,4,D13,COMO,NA,0,1762.790324,1005,0.0559095
129,-105.560714,40.036448,129,197,Point,4,D13,COMO,NA,0,1762.790324,1005,0.015794941
130,-105.56071,40.036344,130,198,Point,4,D13,COMO,NA,0,1762.790324,1005,0.002662223
131,-105.560625,40.036283,131,199,Point,4,D13,COMO,NA,0,1762.790324,1005,0.003345652
132,-105.560495,40.036201,132,200,Point,4,D13,COMO,NA,0,1762.790324,1005,0.011441068
133,-105.560366,40.036116,133,201,Point,4,D13,COMO,NA,0,1762.790324,1005,0.038435182
134,-105.560202,40.036066,134,202,Point,4,D13,COMO,NA,0,1762.790324,1005,0.07081194
135,-105.560051,40.036042,135,203,Point,4,D13,COMO,NA,0,1762.790324,1005,0.153528515
136,-105.559873,40.036004,136,204,Point,4,D13,COMO,NA,0,1762.790324,1005,0.166772552
137,-105.559811,40.035989,137,205,Point,4,D13,COMO,NA,0,1762.790324,1005,0.174788099
138,-105.559685,40.03609,138,206,Point,4,D13,COMO,NA,0,1762.790324,1005,0.117424349
139,-105.55955,40.036186,139,207,Point,4,D13,COMO,NA,0,1762.790324,1005,0.082215618
140,-105.559394,40.036147,140,208,Point,4,D13,COMO,NA,0,1762.790324,1005,0.083297243
141,-105.559228,40.036174,141,209,Point,4,D13,COMO,NA,0,1762.790324,1005,0.078480192
142,-105.559067,40.036182,142,210,Point,4,D13,COMO,NA,0,1762.790324,1005,0.091901127
143,-105.558948,40.036075,143,211,Point,4,D13,COMO,NA,0,1762.790324,1005,0.137682815
144,-105.558925,40.03614,144,212,Point,4,D13,COMO,NA,0,1762.790324,1005,0.188465863
145,-105.558879,40.036275,145,213,Point,4,D13,COMO,NA,0,1762.790324,1005,0.184251385
146,-105.558849,40.036384,146,214,Point,4,D13,COMO,NA,0,1762.790324,1005,0.119737199
147,-105.558799,40.036508,147,215,Point,4,D13,COMO,NA,0,1762.790324,1005,0.06282003
148,-105.558735,40.036602,148,216,Point,4,D13,COMO,NA,0,1762.790324,1005,0.087591198
149,-105.558659,40.036574,149,217,Point,4,D13,COMO,NA,0,1762.790324,1005,0.126250864
150,-105.55853,40.036531,150,218,Point,4,D13,COMO,NA,0,1762.790324,1005,0.126289998
151,-105.55842,40.036582,151,219,Point,4,D13,COMO,NA,0,1762.790324,1005,0.169515078
152,-105.558275,40.036582,152,220,Point,4,D13,COMO,NA,0,1762.790324,1005,0.126431611
153,-105.558246,40.036467,153,221,Point,4,D13,COMO,NA,0,1762.790324,1005,0.107949632
154,-105.558061,40.036412,154,222,Point,4,D13,COMO,NA,0,1762.790324,1005,0.042213787
155,-105.55794,40.036514,155,223,Point,4,D13,COMO,NA,0,1762.790324,1005,0.040089307
156,-105.557843,40.036575,156,224,Point,4,D13,COMO,NA,0,1762.790324,1005,0.092883173
157,-105.557674,40.036612,157,225,Point,4,D13,COMO,NA,0,1762.790324,1005,0.167939863
158,-105.557507,40.03661,158,226,Point,4,D13,COMO,NA,0,1762.790324,1005,0.1821288
159,-105.557348,40.036558,159,227,Point,4,D13,COMO,NA,0,1762.790324,1005,0.125511223
160,-105.557149,40.036534,160,228,Point,4,D13,COMO,NA,0,1762.790324,1005,0.085298101
161,-105.557002,40.036471,161,229,Point,4,D13,COMO,NA,0,1762.790324,1005,0.103038815
162,-105.5569,40.036553,162,230,Point,4,D13,COMO,NA,0,1762.790324,1005,0.113750894
163,-105.556723,40.036526,163,231,Point,4,D13,COMO,NA,0,1762.790324,1005,0.07404752
164,-105.55663,40.036458,164,232,Point,4,D13,COMO,NA,0,1762.790324,1005,0.090370285
165,-105.556474,40.036537,165,233,Point,4,D13,COMO,NA,0,1762.790324,1005,0.106013823
166,-105.556379,40.03646,166,234,Point,4,D13,COMO,NA,0,1762.790324,1005,0.136372768
167,-105.556229,40.036459,167,235,Point,4,D13,COMO,NA,0,1762.790324,1005,0.148473867
168,-105.556056,40.036499,168,236,Point,4,D13,COMO,NA,0,1762.790324,1005,0.176967783
169,-105.555949,40.036485,169,237,Point,4,D13,COMO,NA,0,1762.790324,1005,0.157267232
170,-105.555788,40.036459,170,238,Point,4,D13,COMO,NA,0,1762.790324,1005,0.13306238
171,-105.555681,40.036558,171,239,Point,4,D13,COMO,NA,0,1762.790324,1005,0.13042461
172,-105.55568,40.036566,172,240,Point,4,D13,COMO,NA,0,1762.790324,1005,0.11110992
173,-105.550925,40.035392,173,241,Point,5,D13,COMO,NA,0,160.412588,1006,0.060600754
174,-105.550767,40.035312,174,242,Point,5,D13,COMO,NA,0,160.412588,1006,0.00878593
175,-105.550593,40.035207,175,243,Point,5,D13,COMO,NA,0,160.412588,1006,0.010882745
176,-105.550454,40.035105,176,244,Point,5,D13,COMO,NA,0,160.412588,1006,0.015206805
177,-105.550315,40.034986,177,245,Point,5,D13,COMO,NA,0,160.412588,1006,0.021090907
178,-105.55024,40.03485,178,246,Point,5,D13,COMO,NA,0,160.412588,1006,0.01970082
179,-105.550052,40.034798,179,247,Point,5,D13,COMO,NA,0,160.412588,1006,0.043306299
180,-105.549982,40.034675,180,248,Point,5,D13,COMO,NA,0,160.412588,1006,0.047154514
181,-105.54985,40.03459,181,249,Point,5,D13,COMO,NA,0,160.412588,1006,0.070010048
182,-105.557574,40.042929,182,466,Point,13,D13,COMO,NA,0,1038.329174,1018,0.082671119
183,-105.557444,40.042883,183,467,Point,13,D13,COMO,NA,0,1038.329174,1018,0.119070036
184,-105.557467,40.042756,184,468,Point,13,D13,COMO,NA,0,1038.329174,1018,0.126234494
185,-105.557466,40.042605,185,469,Point,13,D13,COMO,NA,0,1038.329174,1018,0.126054035
186,-105.55747,40.042465,186,470,Point,13,D13,COMO,NA,0,1038.329174,1018,0.122172764
187,-105.557448,40.042323,187,471,Point,13,D13,COMO,NA,0,1038.329174,1018,0.104656545
188,-105.557474,40.042194,188,472,Point,13,D13,COMO,NA,0,1038.329174,1018,0.069116682
