,DayOfYear,Interp.Value,LowerBound,UpperBound,gw_min,gw_max,AvgWaterTemp_C,NEP_median,NEP_lower,NEP_upper,NEP_max,daily_NEP,atm_CO2_ppm,date,measured_discharge
89,140,23856.84778,22520.15097,26483.59792,20585.01,35003.18212,1.916173958,3.209604885,1.665713107,5.08632107,15.36496386,2.016337595,446.1018871,2018-05-20,1.072464375
90,140,23856.84778,22520.15097,26483.59792,20585.01,35003.18212,1.916173958,3.209604885,1.665713107,5.08632107,15.36496386,2.016337595,446.1018871,2020-05-19,0.619122813
91,140,23856.84778,22520.15097,26483.59792,20585.01,35003.18212,1.916173958,3.209604885,1.665713107,5.08632107,15.36496386,2.016337595,446.1018871,2023-05-20,0.763712813
92,140,23856.84778,22520.15097,26483.59792,20585.01,35003.18212,1.916173958,3.209604885,1.665713107,5.08632107,15.36496386,2.016337595,446.1018871,2021-05-20,0.401931458
93,140,23856.84778,22520.15097,26483.59792,20585.01,35003.18212,1.916173958,3.209604885,1.665713107,5.08632107,15.36496386,2.016337595,446.1018871,2019-05-20,0.291956354
94,141,24031.26648,22680.04399,26551.17616,20585.01,35003.18212,2.189392708,3.209604885,1.665713107,5.08632107,15.36496386,2.582806893,447.5875964,2023-05-21,0.726814688
95,141,24031.26648,22680.04399,26551.17616,20585.01,35003.18212,2.189392708,3.209604885,1.665713107,5.08632107,15.36496386,2.582806893,447.5875964,2018-05-21,1.109474688
96,141,24031.26648,22680.04399,26551.17616,20585.01,35003.18212,2.189392708,3.209604885,1.665713107,5.08632107,15.36496386,2.582806893,447.5875964,2020-05-20,0.595175104
97,141,24031.26648,22680.04399,26551.17616,20585.01,35003.18212,2.189392708,3.209604885,1.665713107,5.08632107,15.36496386,2.582806893,447.5875964,2022-05-21,1.245379792
98,141,24031.26648,22680.04399,26551.17616,20585.01,35003.18212,2.189392708,3.209604885,1.665713107,5.08632107,15.36496386,2.582806893,447.5875964,2021-05-21,0.344386979
99,141,24031.26648,22680.04399,26551.17616,20585.01,35003.18212,2.189392708,3.209604885,1.665713107,5.08632107,15.36496386,2.582806893,447.5875964,2019-05-21,0.258920729
100,142,24204.486,22839.59639,26618.7544,20585.01,35003.18212,2.126892708,3.209604885,1.665713107,5.08632107,15.36496386,3.140819933,438.4645446,2022-05-22,1.343095208
101,142,24204.486,22839.59639,26618.7544,20585.01,35003.18212,2.126892708,3.209604885,1.665713107,5.08632107,15.36496386,3.140819933,438.4645446,2019-05-22,0.242628333
102,142,24204.486,22839.59639,26618.7544,20585.01,35003.18212,2.126892708,3.209604885,1.665713107,5.08632107,15.36496386,3.140819933,438.4645446,2020-05-21,0.575285
103,142,24204.486,22839.59639,26618.7544,20585.01,35003.18212,2.126892708,3.209604885,1.665713107,5.08632107,15.36496386,3.140819933,438.4645446,2023-05-22,0.637340208
104,142,24204.486,22839.59639,26618.7544,20585.01,35003.18212,2.126892708,3.209604885,1.665713107,5.08632107,15.36496386,3.140819933,438.4645446,2018-05-22,1.150760833
105,142,24204.486,22839.59639,26618.7544,20585.01,35003.18212,2.126892708,3.209604885,1.665713107,5.08632107,15.36496386,3.140819933,438.4645446,2021-05-22,0.377888854
106,143,24376.44252,22998.78893,26686.33264,20585.01,35003.18212,2.25636238,3.209604885,1.665713107,5.08632107,15.36496386,2.880818965,435.2729588,2020-05-22,0.568530625
