"Permanent_Identifier","coords.x1","coords.x2","X.1","X","OBJECTID","ORIG_FID","FDate","Resolution","GNIS_ID","GNIS_Name","LengthKM","ReachCode","FlowDir","WBArea_Per","FType","FCode","MainPath","InNetwork","Visibility","Shape_Leng","NHDPlusID","VPUID","Enabled","slope","row_count","Q_multiplier"
1004,-96.57052699,39.095035,193,193,193,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.010870445,193,0.126300709007982
1004,-96.57080871,39.09523747,194,194,194,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.009800244,194,0.127308807400307
1004,-96.57093037,39.095531,195,195,195,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.009955444,195,0.128350043378474
1004,-96.57072441,39.09580907,196,196,196,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.007089695,196,0.129433819905608
1004,-96.57069713,39.09606058,197,197,197,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,8.29977e-05,197,0.13028584314738
1004,-96.57102539,39.09605537,198,198,198,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.004760874,198,0.131149477373819
1004,-96.5713388,39.09609581,199,199,199,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.008489338,199,0.131985096526712
1004,-96.57127631,39.09639609,200,200,200,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.007365658,200,0.133011961777677
1004,-96.5709753,39.09656731,201,201,201,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.009282204,201,0.133992243249234
1004,-96.57075205,39.09681975,202,202,202,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.01812396,202,0.135027122918953
1004,-96.57095996,39.09705757,203,203,203,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.00731199,203,0.135998482872367
1004,-96.57129776,39.09710128,204,204,204,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,8.29977e-05,204,0.136899186507613
1004,-96.57137329,39.09724634,205,205,205,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.013318657,205,0.137427619150015
1005,-96.58618643,39.09117081,297,297,297,17,"3/26/2012",2,480856,"South Branch Kings Creek",0.187,1.02701e+13,1,NA,460,46003,0,1,0,0.001840656,2.3001e+13,1027,1,0.03138073,297,0.335202052006697
1005,-96.58647258,39.09134685,298,298,298,17,"3/26/2012",2,480856,"South Branch Kings Creek",0.187,1.02701e+13,1,NA,460,46003,0,1,0,0.001840656,2.3001e+13,1027,1,0.031697703,298,0.335494637191439
1005,-96.58673006,39.09156759,299,299,299,17,"3/26/2012",2,480856,"South Branch Kings Creek",0.187,1.02701e+13,1,NA,460,46003,0,1,0,0.001840656,2.3001e+13,1027,1,0.032014676,299,0.335801846619495
1005,-96.5869394,39.09181092,300,300,300,17,"3/26/2012",2,480856,"South Branch Kings Creek",0.187,1.02701e+13,1,NA,460,46003,0,1,0,0.001840656,2.3001e+13,1027,1,0.031422301,300,0.336103544407299
1005,-96.5870841,39.09211216,301,301,301,17,"3/26/2012",2,480856,"South Branch Kings Creek",0.187,1.02701e+13,1,NA,460,46003,0,1,0,0.001840656,2.3001e+13,1027,1,0.044753632,301,0.336434796527498
1005,-96.58708542,39.09241781,302,302,302,17,"3/26/2012",2,480856,"South Branch Kings Creek",0.187,1.02701e+13,1,NA,460,46003,0,1,0,0.001840656,2.3001e+13,1027,1,0.03639294,302,0.336749569408207
1005,-96.58708709,39.09251841,303,303,303,17,"3/26/2012",2,480856,"South Branch Kings Creek",0.187,1.02701e+13,1,NA,460,46003,0,1,0,0.001840656,2.3001e+13,1027,1,0.037110241,303,0.3368531801496
1006,-96.58538029,39.08813587,339,339,339,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.037522764,339,0.119971738829926
1006,-96.58549136,39.08840141,340,340,340,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.028700919,340,0.120343253943905
1006,-96.58562938,39.08871782,341,341,341,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.040555411,341,0.120787798279847
1006,-96.58574871,39.08901736,342,342,342,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.029275696,342,0.121205008292175
1006,-96.58599978,39.08919781,343,343,343,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.028928519,343,0.121559067979295
1006,-96.58611015,39.08951402,344,344,344,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.02627792,344,0.121994974841079
1006,-96.58581912,39.08956695,345,345,345,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.023853071,345,0.122304776103594
1006,-96.58598192,39.08982921,346,346,346,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.022413367,346,0.122692312329402
1006,-96.58626992,39.08991782,347,347,347,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.032285938,347,0.123013289770902
1006,-96.58624601,39.09025104,348,348,348,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.034821779,348,0.123457232461646
1006,-96.58630539,39.0905853,349,349,349,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.022923035,349,0.123906106761953
1006,-96.58631373,39.09091252,350,350,350,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.038676084,350,0.124341461677263
1006,-96.58618889,39.09116956,351,351,351,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.039087563,351,0.124707048328961
1006,-96.58618643,39.09117081,352,352,352,20,"3/26/2012",2,NA,NA,0.431,1.02701e+13,1,NA,460,46003,0,1,0,0.00417399,2.3001e+13,1027,1,0.008885353,352,0.124710092616769
1007,-96.57713343,39.08802327,261,261,261,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.011516312,261,0.155720583040226
