"","coords.x1","coords.x2","FID","Shape","DomainNum","SiteID","Permanent_Identifier","Shape_Le_2","slope"
"185",-84.277549,35.96248,185,"Point","D07","WALK",1019,365.604483,0.00691779188496833
"186",-84.277644,35.962401,186,"Point","D07","WALK",1019,365.604483,0.00710160784620934
"187",-84.277665,35.962261,187,"Point","D07","WALK",1019,365.604483,0.0100759273751341
"188",-84.277559,35.962135,188,"Point","D07","WALK",1019,365.604483,0.00927911347054522
"189",-84.277502,35.962124,189,"Point","D07","WALK",1019,365.604483,0.0185413697556215
"190",-84.277497,35.965486,190,"Point","D07","WALK",1020,130.296753,0.0285712737789946
"191",-84.277488,35.965404,191,"Point","D07","WALK",1020,130.296753,0.0301849237690872
"192",-84.277462,35.96525,192,"Point","D07","WALK",1020,130.296753,0.0268505707300368
"193",-84.277524,35.965105,193,"Point","D07","WALK",1020,130.296753,0.0149886651755347
"194",-84.277609,35.964961,194,"Point","D07","WALK",1020,130.296753,0.0146859923499531
"195",-84.277693,35.964809,195,"Point","D07","WALK",1020,130.296753,0.0113886250705076
"196",-84.277776,35.964658,196,"Point","D07","WALK",1020,130.296753,0.0194637973657747
"197",-84.277862,35.964548,197,"Point","D07","WALK",1020,130.296753,0.0350667230574069
"198",-84.28206,35.965445,198,"Point","D07","WALK",1021,527.688078,0.0385865783535494
"199",-84.281902,35.965514,199,"Point","D07","WALK",1021,527.688078,0.043893774696875
"200",-84.281723,35.965586,200,"Point","D07","WALK",1021,527.688078,0.0366195811905529
"201",-84.281565,35.96569,201,"Point","D07","WALK",1021,527.688078,0.0335505941665799
"202",-84.281419,35.965764,202,"Point","D07","WALK",1021,527.688078,0.0358016268645674
"203",-84.281264,35.965843,203,"Point","D07","WALK",1021,527.688078,0.0344718472906365
"204",-84.281124,35.965898,204,"Point","D07","WALK",1021,527.688078,0.0441724619572151
"205",-84.280936,35.965911,205,"Point","D07","WALK",1021,527.688078,0.0318842499979223
"206",-84.280735,35.965911,206,"Point","D07","WALK",1021,527.688078,0.0250169662246202
"207",-84.280548,35.965977,207,"Point","D07","WALK",1021,527.688078,0.0117651505991837
"208",-84.280398,35.965884,208,"Point","D07","WALK",1021,527.688078,0.0172617252265904
"209",-84.280236,35.965828,209,"Point","D07","WALK",1021,527.688078,0.0194283186826382
"210",-84.280098,35.965752,210,"Point","D07","WALK",1021,527.688078,0.0237317792944114
"211",-84.279937,35.965637,211,"Point","D07","WALK",1021,527.688078,0.0215263881183118
"212",-84.279735,35.96563,212,"Point","D07","WALK",1021,527.688078,0.0293549663793682
"213",-84.279583,35.965557,213,"Point","D07","WALK",1021,527.688078,0.0297488438243081
"214",-84.279405,35.96552,214,"Point","D07","WALK",1021,527.688078,0.0276682615610623
"215",-84.279229,35.965444,215,"Point","D07","WALK",1021,527.688078,0.0192791585254466
"216",-84.279038,35.965383,216,"Point","D07","WALK",1021,527.688078,0.0134133793635939
"217",-84.278859,35.965301,217,"Point","D07","WALK",1021,527.688078,0.0133651473798021
"218",-84.278732,35.965185,218,"Point","D07","WALK",1021,527.688078,0.0145006556381266
"219",-84.27857,35.965111,219,"Point","D07","WALK",1021,527.688078,0.0293262365455677
"220",-84.278445,35.964998,220,"Point","D07","WALK",1021,527.688078,0.0284164053808859
"221",-84.278281,35.964918,221,"Point","D07","WALK",1021,527.688078,0.0310757301492514
"222",-84.278203,35.964776,222,"Point","D07","WALK",1021,527.688078,0.020023853258662
"223",-84.27808,35.964652,223,"Point","D07","WALK",1021,527.688078,0.0221531009900054
"224",-84.277932,35.964577,224,"Point","D07","WALK",1021,527.688078,0.0229234077694894
"225",-84.277862,35.964548,225,"Point","D07","WALK",1021,527.688078,0.0315787957510818
"226",-84.27618,35.966375,226,"Point","D07","WALK",1022,175.137124,0.0319067988957449
"227",-84.27636,35.96629,227,"Point","D07","WALK",1022,175.137124,0.0385491424751015
"228",-84.276546,35.966222,228,"Point","D07","WALK",1022,175.137124,0.0436736794226038
"229",-84.276731,35.966152,229,"Point","D07","WALK",1022,175.137124,0.0397234179593302
"230",-84.276885,35.966036,230,"Point","D07","WALK",1022,175.137124,0.0383058744897107
